review_id,package,original_filename,review_path,format,dimensions,bytes,sha256
加长缎面礼服手套婚礼晚礼服配件cos-01,加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images,SKU 属性图_01.jpg,C:\Users\毛彧\Documents\ChatGPT\手套厂独立站建设\.asset-review\加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images\加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images\SKU 属性图_01.jpg,JPEG,800x800,153015,8bd5c0be1d8edd8ca2379473476e18ea30ebe66c901a4714eef40682ab512aab
加长缎面礼服手套婚礼晚礼服配件cos-02,加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images,SKU 属性图_02.jpg,C:\Users\毛彧\Documents\ChatGPT\手套厂独立站建设\.asset-review\加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images\加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images\SKU 属性图_02.jpg,JPEG,800x800,155399,f614c1ef7becad8433c7234dbc7eba9a1daea1c0d6d9978e25d90d16730a7642
加长缎面礼服手套婚礼晚礼服配件cos-03,加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images,SKU 属性图_03.jpg,C:\Users\毛彧\Documents\ChatGPT\手套厂独立站建设\.asset-review\加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images\加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images\SKU 属性图_03.jpg,JPEG,800x800,229166,0109b1b96f453084616d4edb1ae453d43b94cd7e18c296da535fb75d1784c6ca
加长缎面礼服手套婚礼晚礼服配件cos-04,加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images,SKU 属性图_04.jpg,C:\Users\毛彧\Documents\ChatGPT\手套厂独立站建设\.asset-review\加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images\加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images\SKU 属性图_04.jpg,JPEG,800x800,191537,83118171d10ffa41770ae5424005b272c201c8ad361957284e30f27af5f855f1
加长缎面礼服手套婚礼晚礼服配件cos-05,加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images,SKU 属性图_05.jpg,C:\Users\毛彧\Documents\ChatGPT\手套厂独立站建设\.asset-review\加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images\加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images\SKU 属性图_05.jpg,JPEG,800x800,224733,d5075ebf15569391f6fcbde3032ebff9ef484f838279feb00fed63797b8597bc
加长缎面礼服手套婚礼晚礼服配件cos-06,加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images,SKU 属性图_06.jpg,C:\Users\毛彧\Documents\ChatGPT\手套厂独立站建设\.asset-review\加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images\加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images\SKU 属性图_06.jpg,JPEG,800x800,189956,c734d42d182ce6c9082069f4d525d413786cfc3af3026c8562fcc24df44db1ca
加长缎面礼服手套婚礼晚礼服配件cos-07,加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images,SKU 属性图_07.jpg,C:\Users\毛彧\Documents\ChatGPT\手套厂独立站建设\.asset-review\加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images\加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images\SKU 属性图_07.jpg,JPEG,800x800,174337,472af2c8b9ebc67ca30b6d20ba2f4cf2985b3b1dd0bda0227aba7e775e22ae07
加长缎面礼服手套婚礼晚礼服配件cos-08,加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images,SKU 属性图_08.jpg,C:\Users\毛彧\Documents\ChatGPT\手套厂独立站建设\.asset-review\加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images\加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images\SKU 属性图_08.jpg,JPEG,800x800,173731,b01c37d40626533acaa9e32f5debe481106a9512c1757daaf7b29cc305c7a9f0
加长缎面礼服手套婚礼晚礼服配件cos-09,加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images,SKU 属性图_09.jpg,C:\Users\毛彧\Documents\ChatGPT\手套厂独立站建设\.asset-review\加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images\加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images\SKU 属性图_09.jpg,JPEG,800x800,142512,8e5473f4c02dd22ae9ff634772c89936e0b5e49c3f60b7b56b5f520568585c32
加长缎面礼服手套婚礼晚礼服配件cos-10,加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images,SKU 属性图_10.jpg,C:\Users\毛彧\Documents\ChatGPT\手套厂独立站建设\.asset-review\加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images\加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images\SKU 属性图_10.jpg,JPEG,800x800,126685,ce43b3b2fdc76bd2596d28f2f92fad85775b6f8921dbb5db07f3a4464fe5d493
加长缎面礼服手套婚礼晚礼服配件cos-11,加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images,SKU 属性图_11.jpg,C:\Users\毛彧\Documents\ChatGPT\手套厂独立站建设\.asset-review\加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images\加长缎面礼服手套婚礼晚礼服配件cosplay舞会表演55cm色丁手套_814978872980_images\SKU 属性图_11.jpg,JPEG,800x800,135081,71e01ebfe89a189854fda0cfdc242f723b9072dfef1b1b664394ef8ce71aff6a
