product_family,evidence_source,evidence_type,observation,confidence,publication_status
Active product scope,Factory confirmation supplied by user 2026-08-31,FACTORY_CONFIRMED,"Bridal/wedding; long/evening/satin/opera; lace; mesh/sheer/tulle/fingerless; costume/stage/cosplay; kids/girls/princess/dress gloves; and wedding/bridal veils are all normally produced",HIGH,"May guide architecture; exact SKU selection still requires catalogue curation"
General customization,Factory confirmation supplied by user 2026-08-31,FACTORY_CONFIRMED,"All confirmed active product families can accept customization including wedding/bridal veils",HIGH,"May state general availability only; do not state exact options or limits"
Overseas enquiry ownership,Factory confirmation supplied by user 2026-08-31,FACTORY_CONFIRMED,"Existing responsible personnel can handle early overseas website enquiries",HIGH,"Architecture is unblocked; exact public channel remains PENDING"
Long sheer lace occasion gloves,"https://jsmeilai.1688.com/page/offerlist.html observed 2026-08-31",FACTORY_PLATFORM_EVIDENCE,"Long mesh/lace wedding and Halloween style displayed 5万+ cumulative 1688 sales",HIGH,"Domestic-platform cumulative sales only; not export or global sales"
Kids satin bow formal gloves,"https://jsmeilai.1688.com/page/offerlist.html observed 2026-08-31",FACTORY_PLATFORM_EVIDENCE,"Factory-direct kids satin bow performance party formal long gloves displayed 2.4万+ cumulative 1688 sales",HIGH,"Supports product experience and reassessment; not overseas demand"
Long lace fingerless wedding gloves,"https://jsmeilai.1688.com/page/offerlist.html observed 2026-08-31",FACTORY_PLATFORM_EVIDENCE,"Long lace embroidered beaded fingerless wedding gloves displayed 1.2万+ cumulative 1688 sales",HIGH,"Domestic-platform cumulative sales only"
Long satin formal gloves,"https://jsmeilai.1688.com/page/offerlist.html observed 2026-08-31",FACTORY_PLATFORM_EVIDENCE,"55 cm stretch satin bridal/formal product displayed 1.1万+ cumulative 1688 sales; another 55 cm party/evening style displayed 7000+",HIGH,"Domestic-platform cumulative sales only"
Bridal and lace styles,"https://jsmeilai.1688.com/page/offerlist.html observed 2026-08-31",FACTORY_PLATFORM_EVIDENCE,"Multiple bridal lace full-finger and fingerless products displayed sales from hundreds to thousands",HIGH,"Domestic-platform relative traction only"
Costume and decorative styles,"https://jsmeilai.1688.com/page/offerlist.html observed 2026-08-31",FACTORY_PLATFORM_EVIDENCE,"Halloween feather fingerless title displayed 4400+; stage/cosplay decorative glove titles also displayed sales",MEDIUM-HIGH,"Supports active assortment; not overseas demand"
Kids princess and flower-girl styles,"https://jsmeilai.1688.com/page/offerlist.html observed 2026-08-31",FACTORY_PLATFORM_EVIDENCE,"Ice-princess stage/flower-girl style displayed 900+ and a kids lace/satin flower-girl style displayed 300+ cumulative 1688 sales",HIGH,"Domestic-platform cumulative sales only"
Wedding and costume veil styles,"https://jsmeilai.1688.com/page/offerlist.html observed 2026-08-31",FACTORY_PLATFORM_EVIDENCE,"Black lace veil title for Halloween/wedding/princess use displayed in the catalogue",MEDIUM,"Confirms listed assortment only; do not infer overseas demand"
Store catalogue,1688 storefront screenshots,FACTORY_PLATFORM_EVIDENCE,"Storefront snapshot shows 166 products and 108 glove-category items with satin lace sheer long fingerless veil and accessory styles",MEDIUM-HIGH,"Platform snapshot; not a live inventory guarantee"
Factory profile,1688 screenshots,PLATFORM_EVIDENCE,"Store shows Jiangshan Meilai Clothing Factory Zhejiang Quzhou Jiangshan location and 2010 establishment",MEDIUM,"Verify publishable English legal identity"
Factory scale,1688 screenshots,PLATFORM_EVIDENCE,"Profile displays 500 m2 19 employees and 101-500万 annual transaction range",LOW-MEDIUM,"Do not publish until confirmed"
Commercial terms,1688 screenshots,PLATFORM_EVIDENCE,"Profile displays custom MOQ 300 pairs and private-label MOQ 1000 pairs",LOW-MEDIUM,"Do not publish until exact current terms are factory-confirmed"
Production line,1688 screenshots,PLATFORM_EVIDENCE,"Production view displays 15 staff monthly output 21-50万 and five-day raw-material procurement",LOW-MEDIUM,"Do not publish exact figures until confirmed"
