keyword,product_family,modifier,volume,global_volume,KD,CPC,tool_intent,inferred_intent,B2B_B2C,product_fit,commercial_value,source,status,notes
bridal gloves,Bridal and Wedding Gloves,,1300,3000,13,0.68,Commercial,Commercial product discovery,B2C-led with B2B conversion,HIGH,HIGH,THIRD_PARTY_SEMRUSH_INTERFACE manual review US 2026-08-31,COMMERCIAL_PRODUCT,"Canonical support; one page with wedding gloves."
wedding gloves,Bridal and Wedding Gloves,,1600,3900,17,0.72,Commercial,Commercial product discovery,B2C-led with B2B conversion,HIGH,HIGH,THIRD_PARTY_SEMRUSH_INTERFACE manual review US 2026-08-31,COMMERCIAL_PRODUCT,"Shares the Bridal Gloves owner."
wholesale bridal gloves,Bridal and Wedding Gloves,wholesale,20,,,,Unavailable,B2B procurement,B2B_MONEY,HIGH,HIGH,THIRD_PARTY_SEMRUSH_INTERFACE manual review US 2026-08-31,B2B_MONEY,"Retain in page copy and RFQ context; do not create a separate SEO page."
custom bridal gloves,Bridal and Wedding Gloves,custom,20,,,,Unavailable,Consumer personalization mixed with sourcing,MIXED,HIGH,MEDIUM,THIRD_PARTY_SEMRUSH_INTERFACE plus Google US 2026-08-31,QUARANTINED,"Consumer bespoke SERP; customization evidence belongs on the product owner."
bridal lace gloves,Bridal and Wedding Gloves,lace,260,590,5,0.53,Commercial,Commercial bridal discovery,B2C-led with B2B conversion,HIGH,HIGH,THIRD_PARTY_SEMRUSH_INTERFACE manual review US 2026-08-31,COMMERCIAL_PRODUCT,"Style child or substantial section under Bridal Gloves."
lace gloves,Multi-family Style,lace,2900,8300,28,0.40,Commercial,Mixed fashion DIY and costume,MIXED,HIGH,LOW,THIRD_PARTY_SEMRUSH_INTERFACE manual review plus Google US 2026-08-31,QUARANTINED,"Factory fit is high but generic query intent is polluted."
sheer wedding gloves,Bridal and Wedding Gloves,sheer,110,,11,0.52,Informational plus Transactional,Commercial bridal discovery,B2C-led with B2B conversion,HIGH,MEDIUM,THIRD_PARTY_SEMRUSH_INTERFACE plus Google US 2026-08-31,COMMERCIAL_PRODUCT,"Qualified child opportunity."
tulle gloves,Multi-family Style,tulle,260,,8,0.62,Commercial,Fashion and bridal discovery,B2C-led with B2B conversion,HIGH,MEDIUM,THIRD_PARTY_SEMRUSH_INTERFACE plus Google US 2026-08-31,COMMERCIAL_PRODUCT,"Use within appropriate family context."
fingerless bridal gloves,Bridal and Wedding Gloves,fingerless,390,640,8,0.48,Commercial,Commercial bridal discovery,B2C-led with B2B conversion,HIGH,HIGH,THIRD_PARTY_SEMRUSH_INTERFACE manual review plus Google US 2026-08-31,COMMERCIAL_PRODUCT,"Style child; generic fingerless remains excluded."
opera gloves,Opera Evening and Formal Gloves,,2900,6200,17,0.82,Commercial,Commercial occasionwear discovery,B2C-led with B2B conversion,HIGH,HIGH,THIRD_PARTY_SEMRUSH_INTERFACE manual review US 2026-08-31,COMMERCIAL_PRODUCT,"Primary owner term; scope out leather and winter use."
evening gloves,Opera Evening and Formal Gloves,,720,2000,25,,Commercial,Commercial occasionwear discovery,B2C-led with B2B conversion,HIGH,HIGH,THIRD_PARTY_SEMRUSH_INTERFACE manual review US 2026-08-31,COMMERCIAL_PRODUCT,"Supporting synonym for opera owner."
formal gloves,Opera Evening and Formal Gloves,,390,940,18,,Commercial,Formalwear and uniform discovery,MIXED,HIGH,MEDIUM,THIRD_PARTY_SEMRUSH_INTERFACE manual review US 2026-08-31,COMMERCIAL_PRODUCT,"Support the combined family without a duplicate page."
elbow length gloves,Opera Evening and Formal Gloves,length,720,1800,18,,Commercial,Length-specific product discovery,B2C-led with B2B conversion,HIGH,HIGH,THIRD_PARTY_SEMRUSH_INTERFACE manual review US 2026-08-31,COMMERCIAL_PRODUCT,"Length module under opera owner."
long gloves,Opera Evening and Formal Gloves,length,1900,5600,36,,Commercial,Mixed leather and generic long-glove discovery,MIXED,MEDIUM,MEDIUM,THIRD_PARTY_SEMRUSH_INTERFACE manual review US 2026-08-31,QUARANTINED,"Use only as supporting copy with clear occasion context."
satin gloves,Opera Evening and Formal Gloves,satin,1000,2600,7,,Commercial,Commercial material discovery,B2C-led with B2B conversion,HIGH,HIGH,THIRD_PARTY_SEMRUSH_INTERFACE manual review US 2026-08-31,COMMERCIAL_PRODUCT,"Material child under the opera/formal owner."
satin opera gloves,Opera Evening and Formal Gloves,satin,880,1200,4,0.71,Commercial,Focused material and length discovery,B2C-led with B2B conversion,HIGH,HIGH,THIRD_PARTY_SEMRUSH_INTERFACE manual review plus Google US 2026-08-31,COMMERCIAL_PRODUCT,"Strong child section or landing candidate."
wholesale opera gloves,Opera Evening and Formal Gloves,wholesale,20,,,,Unavailable,B2B procurement,B2B_MONEY,HIGH,HIGH,THIRD_PARTY_SEMRUSH_INTERFACE manual review US 2026-08-31,B2B_MONEY,"Integrate in the canonical product page rather than create a modifier page."
costume gloves,Costume and Stage Gloves,,590,1300,22,,Commercial,Commercial costume accessory discovery,B2C-led with B2B conversion,HIGH,HIGH,THIRD_PARTY_SEMRUSH_INTERFACE manual review plus Google US 2026-08-31,COMMERCIAL_PRODUCT,"Top-level candidate with explicit supported-style boundaries."
stage gloves,Costume and Stage Gloves,,,,,,Commercial,Performance and costume product discovery,MIXED,HIGH,MEDIUM,Google live SERP and factory terminology 2026-08-31,COMMERCIAL_PRODUCT,"No displayed keyword metric; supporting terminology only."
girls dress gloves,Kids Girls and Princess Dress Gloves,,,,,,Commercial,Children special-occasion product discovery,B2C-led with B2B conversion,HIGH,HIGH,Google live SERP US 2026-08-31,COMMERCIAL_PRODUCT,"Recommended umbrella wording for the independent kids category."
princess gloves,Kids Girls and Princess Dress Gloves,,590,1700,26,,Commercial,Mixed children adult character and wedding discovery,MIXED,HIGH,MEDIUM,THIRD_PARTY_SEMRUSH_INTERFACE manual review plus Google US 2026-08-31,QUARANTINED,"Support within Kids Dress; do not lead due mixed and IP-adjacent intent."
flower girl gloves,Kids Girls and Princess Dress Gloves,flower girl,,,,,,Commercial bridal children discovery,B2C-led with B2B conversion,HIGH,HIGH,Google live SERP US 2026-08-31,COMMERCIAL_PRODUCT,"Natural focused term; no displayed metric available."
