cluster_id,cluster_name,primary_keyword,supporting_keywords,product_family,primary_intent,secondary_intent,B2B_B2C,volume,global_volume,cluster_volume,KD,CPC,product_fit,commercial_value,SERP_fit,dominant_page_type,priority,confidence,decision,notes
C01,Bridal and Wedding Gloves,bridal gloves,"wedding gloves; bridal lace gloves; sheer wedding gloves; fingerless bridal gloves",Bridal and Wedding Gloves,Commercial product discovery,B2B evaluation and RFQ,B2C-led with B2B conversion,1300,3000,3660,13,0.68,HIGH,HIGH,HIGH,Retail collection and product family,1,HIGH,CREATE_CANONICAL,"One owner for bridal and wedding terminology; style children sit below it."
C02,Opera Evening and Formal Gloves,opera gloves,"evening gloves; formal gloves; elbow length gloves; long gloves",Opera Evening and Formal Gloves,Commercial occasionwear discovery,B2B evaluation and RFQ,B2C-led with B2B conversion,2900,6200,6630,17,0.82,HIGH,HIGH,HIGH,Mixed retail collection product and editorial,1,HIGH,CREATE_CANONICAL,"Combine occasion synonyms; do not inherit leather winter or uniform-only intent."
C03,Satin Opera Style,satin opera gloves,"satin gloves; long satin gloves",Opera Evening and Formal Gloves,Focused material and length discovery,B2B evaluation and RFQ,B2C-led with B2B conversion,880,1200,2200,4,0.71,HIGH,HIGH,HIGH,Retail product and category,2,HIGH,CREATE_CHILD_OR_SECTION,"Child landing only if assortment breadth supports it; never a top-level family."
C04,Lace Bridal Style,bridal lace gloves,"lace bridal gloves; lace wedding gloves; fingerless lace bridal gloves",Bridal and Wedding Gloves,Commercial bridal style discovery,Style comparison,B2C-led with B2B conversion,260,590,860,5,0.53,HIGH,HIGH,HIGH,Bridal product and collection,2,HIGH,CREATE_CHILD_OR_SECTION,"Qualified lace terms only; generic lace gloves stays quarantined."
C05,Sheer Tulle Bridal Style,sheer wedding gloves,"sheer bridal gloves; tulle gloves; tulle bridal gloves",Bridal and Wedding Gloves,Commercial bridal style discovery,Style comparison,B2C-led with B2B conversion,110,,560,11,0.52,HIGH,MEDIUM,HIGH,Bridal and fashion product collection,3,MEDIUM,CREATE_CHILD_OR_SECTION,"Avoid generic mesh ownership."
C06,Fingerless Bridal Style,fingerless bridal gloves,"fingerless wedding gloves; fingerless lace bridal gloves",Bridal and Wedding Gloves,Commercial bridal style discovery,Style comparison,B2C-led with B2B conversion,390,640,560,8,0.48,HIGH,MEDIUM,HIGH,Bridal retail product and marketplace,3,HIGH,CREATE_SUBCATEGORY,"Not a top-level category despite high-volume generic fingerless seed terms."
C07,Costume and Stage Gloves,costume gloves,"stage gloves; cosplay gloves; decorative gloves",Costume and Stage Gloves,Commercial costume accessory discovery,B2B evaluation and RFQ,B2C-led with B2B conversion,590,1300,590,22,,HIGH,HIGH,MEDIUM,Broad retail collection and product,1,MEDIUM,CREATE_CANONICAL,"Top-level family with strict scope control and no licensed-character claims."
C08,Kids / Girls Dress Gloves,girls dress gloves,"flower girl gloves; girls formal gloves; girls wedding gloves; princess gloves; kids costume gloves",Kids / Girls Dress Gloves,Commercial children special-occasion discovery,B2B evaluation and RFQ,B2C-led with B2B conversion,,,590,,,HIGH,HIGH,HIGH,Children special-occasion retail collection and product,1,MEDIUM-HIGH,CREATE_CANONICAL,"Independent family because intent spans bridal formal pageant communion princess and costume uses."
C09,Wedding and Bridal Veils,wedding veils,"bridal veils; wedding veils wholesale; bridal veil wholesale",Wedding and Bridal Veils,Commercial bridal discovery,B2B evaluation and RFQ,B2C-led with B2B conversion,6600,30300,11000,31,0.54,HIGH,HIGH,HIGH,Retail collection and product family,1,HIGH,CREATE_CANONICAL,"V1 core after factory confirmation; wedding veils is cleaner than bridal veils."
C10,Qualified B2B Modifiers,wholesale bridal gloves,"wholesale opera gloves; wedding veils wholesale; bridal veil wholesale",All active families,B2B procurement,Factory evaluation and RFQ,B2B_MONEY,20,,60,,,HIGH,HIGH,MEDIUM,Integrated product page plus RFQ,2,HIGH,INTEGRATE_NOT_SPLIT,"Low-volume modifiers inform conversion copy and modules; no near-duplicate modifier pages."
C11,Generic Mixed Gloves,wholesale gloves,"lace gloves; mesh gloves; fingerless gloves; long gloves",Generic non-target,Mixed or non-target,Mixed,MIXED,480,,56380,,,LOW,LOW,LOW,Mixed,0,HIGH,EXCLUDE_OR_QUARANTINE,"Volume does not override product and SERP fit."
